date,equal_weight,epo,ppp,icc_mvo_ex_post,proposed_historical,proposed_ex_post,proposed_historical_epo_n,proposed_historical_ppp_n,proposed_ex_post_msr_icc_n,proposed_ex_post_icc_n,proposed_ex_post_msr
2015-12-31,1.0236315100808544,1.0291301958912547,1.0911394292509033,1.0710749487716515,1.1368749511324783,1.0518676906549305,1.003167691628169,1.0056444446207413,1.0411714536399117,1.1265104341867864,1.039115103121011
2016-01-31,0.967270417607628,1.0047826531599067,1.029043511383957,1.0559705040610055,0.9496356156598506,0.9947457528404193,0.9601206927439039,0.962141602337392,1.0100570485417186,1.085200702415656,1.0121407949752788
2016-02-29,0.9811777187257017,1.0120479974381726,1.0458110653506238,1.0558888678218712,1.1281896860759169,1.015450466377252,0.9923245494500135,0.9939825246131772,1.0251856203319543,1.1006712131556915,1.0230549644951907
2016-03-31,1.0577732357409526,1.076848898287025,1.1374026604406569,1.1229420316109495,1.149367444958884,1.1280403780923878,1.0560338192100538,1.0592466536597056,1.0998790447110915,1.1821191303443939,1.0975865633500115
2016-04-30,1.0710836492825941,1.0572969447395317,1.125456976698371,1.1088180989264877,1.198143726078018,1.173655511051967,1.052230338785701,1.055605857949048,1.109209403188151,1.155370359834465,1.1082955470920053
2016-05-31,1.0911089711274662,1.0821252557309748,1.162120870523792,1.1459240682365128,1.1274049483044273,1.104362525100423,1.0596924313942726,1.0631241420655377,1.130241839064243,1.1757744452960615,1.1251568642528087
2016-06-30,1.091168055420985,1.1325843343008912,1.1684244638388974,1.2029775836405954,1.1132092365525625,1.090456951863881,1.054428452416046,1.0577682328226832,1.1383251234602547,1.1954852094328494,1.1322395806974386
2016-07-31,1.1364991965839577,1.1419399374297237,1.2138951544615124,1.2164012190509133,1.158575908888164,1.18217459347021,1.1028523076361716,1.1059414640951188,1.173532460079608,1.2709903633438155,1.1657218500066324
2016-08-31,1.1410185826954944,1.1094874062736249,1.1991627809639496,1.1930391180143927,1.2466275798593969,1.3386643147797141,1.1067409603735743,1.1096400277868508,1.175665939943671,1.2944286126940012,1.1719337585386114
2016-09-30,1.140104988344267,1.1083949848752004,1.2049868931441199,1.193925544278629,1.21553191677048,1.4088740873174785,1.1050729178724932,1.1073604122509917,1.1669469219183004,1.3149618890419619,1.1604351775399722
2016-10-31,1.1157064823759701,1.084081629782954,1.1767113124791646,1.1898838394063145,1.171744911339079,1.372947528784027,1.0792242438143784,1.0798062266618227,1.1524825075526306,1.279476455082407,1.1474639069932964
2016-11-30,1.176245672876822,1.0962012976604576,1.2405641827880065,1.2539784646566443,1.2277927568486757,1.4191685505344933,1.1392582540197806,1.1329681385031536,1.2160054916595964,1.3342512137684148,1.2135204337356023
2016-12-31,1.1962383037707411,1.113799570623186,1.2586362015354224,1.2780479857210194,1.2775664156991877,1.4183594087907097,1.1420266118434566,1.1354203557634075,1.2369920644736987,1.3416068914457029,1.2340673192375617
